"",INCIDENT#,"%CONT.",UNIT,FIRE NAME,DATE,"ORIGINDPA",ACRES BURNED,"VEG.TYPE",CAUSE,STRUCTURES,FATALITIES,,,,,
"",,,,,START,CONT.,CDF,OTHER,TOTAL,DEST.,DAM.,FIRE,CIVIL,,,
"",RRU-10403,100%,Riverside,Green (State),02/09/02,02/13/02,CDF,17,"2,383","2,400",G,Elec. Power,0,0,0,0
"",MVU-1024,100%,San Diego,Gavilan Fire,02/10/02,02/15/02,CDF,"5,763",,"5,763",B,VMP Burn,43,13,0,0
"",BDU-1909,100%,Inyo,Tecopa,03/05/02,03/05/02,BLM,,300,300,n/a,n/a,,,,
"",MMU-4085,100%,Madera,Nicholas,03/16/02,03/16/02,LOCAL,,"12,000","12,000",Ag.Prod.,Debris Burning,0,0,0,0
"",RRU-20299,100%,Riverside,Cajalco,03/17/02,03/17/02,CDF,575,,575,B,Undetermined,0,0,0,0
"",MVU-2043,100%,San Diego,Aliso,03/21/02,03/22/02,MIL,,"2,400","2,400",na,Under Invest.,na,na,na,na
"",BDU-2403,100%,Inyo,Airport,03/22/02,03/24/02,CDF,846,,846,GB,Undetermined,0,0,0,0
"",MVU-2592,100%,San Diego,Bell (Outside Origin),04/13/02,04/14/02,CDF,195,155,350,B,Undetermined,0,0,0,0
"",RRU-29527,100%,Orange/RRU,Evening Fire,04/21/02,04/23/02,CC,,657,657,B,PWF,0,0,0,0
"",HUU-26808,100%,Del Norte,Kellogg,04/28/02,04/28/02,CDF,300,,300,GB,Vehicle,0,0,0,0
"",MMU-7167,100%,Merced,Myers,05/07/02,05/07/02,CDF,320,,320,G,Undetermined,0,0,0,0
"",FKU-5607,100%,Fresno,Tivy,05/09/02,05/10/02,CDF,680,,680,,Elec. Power,,,,
"",ANF-1534,100%,Angeles NF,Bouquet,05/11/02,05/13/02,USFS,,"4,977","4,977",,Undetermined,2,,,
"",CNF-795,100%,Cleveland NF,Mateo,05/13/02,05/13/02,USFS,,"1,500","1,500",,Undetermined,,,,
"",RRU-35797,100%,Riverside/Orange Co.,State 925 (Antonio),05/13/02,05/15/02,CDF,338,"1,134","1,472",B,Undetermined,0,0,0,0
"",BDU-4432,100%,Los Angeles,Shannon,05/23/02,05/23/02,CC,,356,356,,Undetermined,,,,
"",MMU-8182,100%,Merced,Ahlem,05/23/02,05/23/02,LOCAL,,"6,000","6,000",AP,Undetermined,0,0,0,0
"",BDU-4700,100%,San Bernardino NF,Arrowhead,05/31/02,06/05/02,USFS,,"2,688","2,688",,Under Invest.,7,,,
"",LPF-869,100%,Ventura (Las Padres,Wolf,06/01/02,06/14/02,USFS,,"21,645","21,645",,Under Invest.,6,,,
"",SQF- 1009,100%,Sequoia NF,Rocky(will do),06/02/02,06/04/02,USFS,,498,498,,Under Invest.,,,,
"",RRU-40281,100%,BDF Riverside,Bee,06/02/02,06/02/02,USFS,,432,432,,Under Invest.,,,,
